# thresholds,fpr,tpr
9.988348807262822371e-01,4.515132798023471228e-01,4.744525547445255231e-01
9.975902720701468329e-01,4.539839407041383335e-01,4.744525547445255231e-01
9.955965745653411192e-01,4.539839407041383335e-01,4.761370016844469477e-01
9.941363398742216750e-01,4.552192711550339665e-01,4.761370016844469477e-01
9.905207760343958112e-01,4.552192711550339665e-01,4.783829309376754768e-01
9.839160580600043726e-01,4.570722668313774162e-01,4.783829309376754768e-01
9.786703825871971851e-01,4.570722668313774162e-01,4.789444132509825813e-01
9.712202212007079449e-01,4.595429277331686269e-01,4.789444132509825813e-01
9.623116851796501559e-01,4.595429277331686269e-01,4.795058955642897414e-01
9.578576489086291224e-01,4.601605929586164434e-01,4.795058955642897414e-01
9.562254474057818587e-01,4.601605929586164434e-01,4.800673778775968459e-01
9.441195882327690914e-01,4.613959234095120210e-01,4.800673778775968459e-01
9.405553725397807208e-01,4.613959234095120210e-01,4.806288601909040059e-01
9.315585594228200650e-01,4.620135886349598375e-01,4.806288601909040059e-01
9.085382633595612267e-01,4.620135886349598375e-01,4.817518248175182705e-01
8.999501281015794829e-01,4.632489190858554706e-01,4.817518248175182705e-01
8.550494529613267281e-01,4.632489190858554706e-01,4.828747894441325350e-01
8.313068693879879234e-01,4.638665843113032872e-01,4.828747894441325350e-01
8.008990312223059904e-01,4.638665843113032872e-01,4.845592363840539041e-01
7.911910107258234293e-01,4.651019147621988648e-01,4.845592363840539041e-01
7.548421274112727675e-01,4.651019147621988648e-01,4.856822010106681686e-01
7.399937576575248421e-01,4.657195799876466813e-01,4.856822010106681686e-01
7.346625740978544039e-01,4.657195799876466813e-01,4.862436833239752731e-01
7.323239690867662244e-01,4.663372452130944978e-01,4.862436833239752731e-01
6.905168945144835035e-01,4.663372452130944978e-01,4.868051656372824332e-01
